"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"1 year"	"1"	"2004"	"2004"	"Male"	"M"	1056	2020169	52.3
"Total"	"1 year"	"1"	"2004"	"2004"			1964	3953063	49.7
	"1 year"	"1"	"2005"	"2005"	"Female"	"F"	827	1950494	42.4
	"1 year"	"1"	"2005"	"2005"	"Male"	"M"	1088	2036538	53.4
"Total"	"1 year"	"1"	"2005"	"2005"			1915	3987032	48.0
	"1 year"	"1"	"2006"	"2006"	"Female"	"F"	866	1942541	44.6
	"1 year"	"1"	"2006"	"2006"	"Male"	"M"	975	2029583	48.0
"Total"	"1 year"	"1"	"2006"	"2006"			1841	3972124	46.3
	"1 year"	"1"	"2007"	"2007"	"Female"	"F"	884	1958096	45.1
	"1 year"	"1"	"2007"	"2007"	"Male"	"M"	1056	2044119	51.7
"Total"	"1 year"	"1"	"2007"	"2007"			1940	4002215	48.5
	"1 year"	"1"	"2008"	"2008"	"Female"	"F"	866	2005602	43.2
	"1 year"	"1"	"2008"	"2008"	"Male"	"M"	1101	2095154	52.5
"Total"	"1 year"	"1"	"2008"	"2008"			1967	4100756	48.0
	"1 year"	"1"	"2009"	"2009"	"Female"	"F"	776	1997919	38.8
	"1 year"	"1"	"2009"	"2009"	"Male"	"M"	972	2080878	46.7
"Total"	"1 year"	"1"	"2009"	"2009"			1748	4078797	42.9
	"1 year"	"1"	"2010"	"2010"	"Female"	"F"	806	1947217	41.4
	"1 year"	"1"	"2010"	"2010"	"Male"	"M"	928	2030853	45.7
"Total"	"1 year"	"1"	"2010"	"2010"			1734	3978070	43.6
	"1 year"	"1"	"2011"	"2011"	"Female"	"F"	754	1941933	38.8
	"1 year"	"1"	"2011"	"2011"	"Male"	"M"	918	2027089	45.3
"Total"	"1 year"	"1"	"2011"	"2011"			1672	3969022	42.1
	"1 year"	"1"	"2012"	"2012"	"Female"	"F"	727	1946097	37.4
	"1 year"	"1"	"2012"	"2012"	"Male"	"M"	900	2035426	44.2
"Total"	"1 year"	"1"	"2012"	"2012"			1627	3981523	40.9
	"1 year"	"1"	"2013"	"2013"	"Female"	"F"	728	1933929	37.6
	"1 year"	"1"	"2013"	"2013"	"Male"	"M"	929	2022013	45.9
"Total"	"1 year"	"1"	"2013"	"2013"			1657	3955942	41.9
	"1 year"	"1"	"2014"	"2014"	"Female"	"F"	663	1938870	34.2
	"1 year"	"1"	"2014"	"2014"	"Male"	"M"	793	2023253	39.2
"Total"	"1 year"	"1"	"2014"	"2014"			1456	3962123	36.7
	"1 year"	"1"	"2015"	"2015"	"Female"	"F"	678	1939269	35.0
	"1 year"	"1"	"2015"	"2015"	"Male"	"M"	913	2029295	45.0
"Total"	"1 year"	"1"	"2015"	"2015"			1591	3968564	40.1
	"1 year"	"1"	"2016"	"2016"	"Female"	"F"	694	1953850	35.5
	"1 year"	"1"	"2016"	"2016"	"Male"	"M"	874	2041158	42.8
"Total"	"1 year"	"1"	"2016"	"2016"			1568	3995008	39.2
	"1 year"	"1"	"2017"	"2017"	"Female"	"F"	658	1943534	33.9
	"1 year"	"1"	"2017"	"2017"	"Male"	"M"	859	2031718	42.3
"Total"	"1 year"	"1"	"2017"	"2017"			1517	3975252	38.2
	"1 year"	"1"	"2018"	"2018"	"Female"	"F"	617	1911513	32.3
	"1 year"	"1"	"2018"	"2018"	"Male"	"M"	831	2001387	41.5
"Total"	"1 year"	"1"	"2018"	"2018"			1448	3912900	37.0
	"1 year"	"1"	"2019"	"2019"	"Female"	"F"	649	1871014	34.7
	"1 year"	"1"	"2019"	"2019"	"Male"	"M"	825	1958585	42.1
"Total"	"1 year"	"1"	"2019"	"2019"			1474	3829599	38.5
"Total"	"1 year"	"1"					36830	83023880	44.4
	"2 years"	"2"	"1999"	"1999"	"Female"	"F"	579	1849556	31.3
	"2 years"	"2"	"1999"	"1999"	"Male"	"M"	797	1933079	41.2
"Total"	"2 years"	"2"	"1999"	"1999"			1376	3782635	36.4
	"2 years"	"2"	"2000"	"2000"	"Female"	"F"	571	1851456	30.8
	"2 years"	"2"	"2000"	"2000"	"Male"	"M"	746	1938990	38.5
"Total"	"2 years"	"2"	"2000"	"2000"			1317	3790446	34.7
	"2 years"	"2"	"2001"	"2001"	"Female"	"F"	556	1857181	29.9
	"2 years"	"2"	"2001"	"2001"	"Male"	"M"	747	1942915	38.4
"Total"	"2 years"	"2"	"2001"	"2001"			1303	3800096	34.3
	"2 years"	"2"	"2002"	"2002"	"Female"	"F"	531	1883190	28.2
	"2 years"	"2"	"2002"	"2002"	"Male"	"M"	726	1972924	36.8
"Total"	"2 years"	"2"	"2002"	"2002"			1257	3856114	32.6
	"2 years"	"2"	"2003"	"2003"	"Female"	"F"	585	1959311	29.9
	"2 years"	"2"	"2003"	"2003"	"Male"	"M"	753	2043525	36.8
"Total"	"2 years"	"2"	"2003"	"2003"			1338	4002836	33.4
	"2 years"	"2"	"2004"	"2004"	"Female"	"F"	524	1925324	27.2
	"2 years"	"2"	"2004"	"2004"	"Male"	"M"	670	2008411	33.4
"Total"	"2 years"	"2"	"2004"	"2004"			1194	3933735	30.4
	"2 years"	"2"	"2005"	"2005"	"Female"	"F"	506	1932337	26.2
	"2 years"	"2"	"2005"	"2005"	"Male"	"M"	738	2020295	36.5
"Total"	"2 years"	"2"	"2005"	"2005"			1244	3952632	31.5
	"2 years"	"2"	"2006"	"2006"	"Female"	"F"	549	1950420	28.1
	"2 years"	"2"	"2006"	"2006"	"Male"	"M"	669	2037699	32.8
"Total"	"2 years"	"2"	"2006"	"2006"			1218	3988119	30.5
	"2 years"	"2"	"2007"	"2007"	"Female"	"F"	513	1942309	26.4
	"2 years"	"2"	"2007"	"2007"	"Male"	"M"	665	2031170	32.7
"Total"	"2 years"	"2"	"2007"	"2007"			1178	3973479	29.6
	"2 years"	"2"	"2008"	"2008"	"Female"	"F"	490	1957878	25.0
	"2 years"	"2"	"2008"	"2008"	"Male"	"M"	679	2046268	33.2
"Total"	"2 years"	"2"	"2008"	"2008"			1169	4004146	29.2
	"2 years"	"2"	"2009"	"2009"	"Female"	"F"	502	2005270	25.0
	"2 years"	"2"	"2009"	"2009"	"Male"	"M"	655	2097732	31.2
"Total"	"2 years"	"2"	"2009"	"2009"			1157	4103002	28.2
	"2 years"	"2"	"2010"	"2010"	"Female"	"F"	444	2004731	22.1
	"2 years"	"2"	"2010"	"2010"	"Male"	"M"	660	2092198	31.5
"Total"	"2 years"	"2"	"2010"	"2010"			1104	4096929	26.9
	"2 years"	"2"	"2011"	"2011"	"Female"	"F"	444	1944761	22.8
	"2 years"	"2"	"2011"	"2011"	"Male"	"M"	619	2026999	30.5
"Total"	"2 years"	"2"	"2011"	"2011"			1063	3971760	26.8
	"2 years"	"2"	"2012"	"2012"	"Female"	"F"	459	1948274	23.6
	"2 years"	"2"	"2012"	"2012"	"Male"	"M"	620	2031683	30.5
"Total"	"2 years"	"2"	"2012"	"2012"			1079	3979957	27.1
	"2 years"	"2"	"2013"	"2013"	"Female"	"F"	426	1948680	21.9
	"2 years"	"2"	"2013"	"2013"	"Male"	"M"	589	2040455	28.9
"Total"	"2 years"	"2"	"2013"	"2013"			1015	3989135	25.4
	"2 years"	"2"	"2014"	"2014"	"Female"	"F"	425	1935270	22.0
	"2 years"	"2"	"2014"	"2014"	"Male"	"M"	566	2022502	28.0
"Total"	"2 years"	"2"	"2014"	"2014"			991	3957772	25.0
	"2 years"	"2"	"2015"	"2015"	"Female"	"F"	442	1939979	22.8
	"2 years"	"2"	"2015"	"2015"	"Male"	"M"	565	2026604	27.9
"Total"	"2 years"	"2"	"2015"	"2015"			1007	3966583	25.4
	"2 years"	"2"	"2016"	"2016"	"Female"	"F"	474	1949132	24.3
	"2 years"	"2"	"2016"	"2016"	"Male"	"M"	572	2043022	28.0
"Total"	"2 years"	"2"	"2016"	"2016"			1046	3992154	26.2
	"2 years"	"2"	"2017"	"2017"	"Female"	"F"	405	1965150	20.6
	"2 years"	"2"	"2017"	"2017"	"Male"	"M"	587	2056625	28.5
"Total"	"2 years"	"2"	"2017"	"2017"			992	4021775	24.7
	"2 years"	"2"	"2018"	"2018"	"Female"	"F"	435	1951366	22.3
	"2 years"	"2"	"2018"	"2018"	"Male"	"M"	612	2040071	30.0
"Total"	"2 years"	"2"	"2018"	"2018"			1047	3991437	26.2
	"2 years"	"2"	"2019"	"2019"	"Female"	"F"	401	1916500	20.9
	"2 years"	"2"	"2019"	"2019"	"Male"	"M"	515	2005544	25.7
"Total"	"2 years"	"2"	"2019"	"2019"			916	3922044	23.4
"Total"	"2 years"	"2"					24011	83076786	28.9
	"3 years"	"3"	"1999"	"1999"	"Female"	"F"	445	1868553	23.8
	"3 years"	"3"	"1999"	"1999"	"Male"	"M"	601	1956253	30.7
"Total"	"3 years"	"3"	"1999"	"1999"			1046	3824806	27.3
	"3 years"	"3"	"2000"	"2000"	"Female"	"F"	374	1873836	20.0
	"3 years"	"3"	"2000"	"2000"	"Male"	"M"	558	1958963	28.5
"Total"	"3 years"	"3"	"2000"	"2000"			932	3832799	24.3
	"3 years"	"3"	"2001"	"2001"	"Female"	"F"	420	1857443	22.6
	"3 years"	"3"	"2001"	"2001"	"Male"	"M"	563	1945267	28.9
"Total"	"3 years"	"3"	"2001"	"2001"			983	3802710	25.8
	"3 years"	"3"	"2002"	"2002"	"Female"	"F"	375	1859439	20.2
	"3 years"	"3"	"2002"	"2002"	"Male"	"M"	537	1944897	27.6
"Total"	"3 years"	"3"	"2002"	"2002"			912	3804336	24.0
	"3 years"	"3"	"2003"	"2003"	"Female"	"F"	421	1885740	22.3
	"3 years"	"3"	"2003"	"2003"	"Male"	"M"	582	1974987	29.5
"Total"	"3 years"	"3"	"2003"	"2003"			1003	3860727	26.0
	"3 years"	"3"	"2004"	"2004"	"Female"	"F"	382	1962287	19.5
	"3 years"	"3"	"2004"	"2004"	"Male"	"M"	507	2045933	24.8
"Total"	"3 years"	"3"	"2004"	"2004"			889	4008220	22.2
	"3 years"	"3"	"2005"	"2005"	"Female"	"F"	354	1930395	18.3
	"3 years"	"3"	"2005"	"2005"	"Male"	"M"	521	2012820	25.9
"Total"	"3 years"	"3"	"2005"	"2005"			875	3943215	22.2
	"3 years"	"3"	"2006"	"2006"	"Female"	"F"	362	1939447	18.7
	"3 years"	"3"	"2006"	"2006"	"Male"	"M"	502	2026575	24.8
"Total"	"3 years"	"3"	"2006"	"2006"			864	3966022	21.8
	"3 years"	"3"	"2007"	"2007"	"Female"	"F"	381	1958867	19.5
	"3 years"	"3"	"2007"	"2007"	"Male"	"M"	501	2045144	24.5
"Total"	"3 years"	"3"	"2007"	"2007"			882	4004011	22.0
	"3 years"	"3"	"2008"	"2008"	"Female"	"F"	376	1952383	19.3
	"3 years"	"3"	"2008"	"2008"	"Male"	"M"	520	2039937	25.5
"Total"	"3 years"	"3"	"2008"	"2008"			896	3992320	22.4
	"3 years"	"3"	"2009"	"2009"	"Female"	"F"	378	1969393	19.2
	"3 years"	"3"	"2009"	"2009"	"Male"	"M"	498	2056282	24.2
"Total"	"3 years"	"3"	"2009"	"2009"			876	4025675	21.8
	"3 years"	"3"	"2010"	"2010"	"Female"	"F"	338	2014490	16.8
	"3 years"	"3"	"2010"	"2010"	"Male"	"M"	506	2104550	24.0
"Total"	"3 years"	"3"	"2010"	"2010"			844	4119040	20.5
	"3 years"	"3"	"2011"	"2011"	"Female"	"F"	345	2007550	17.2
	"3 years"	"3"	"2011"	"2011"	"Male"	"M"	492	2094735	23.5
"Total"	"3 years"	"3"	"2011"	"2011"			837	4102285	20.4
	"3 years"	"3"	"2012"	"2012"	"Female"	"F"	359	1949929	18.4
	"3 years"	"3"	"2012"	"2012"	"Male"	"M"	461	2032511	22.7
"Total"	"3 years"	"3"	"2012"	"2012"			820	3982440	20.6
	"3 years"	"3"	"2013"	"2013"	"Female"	"F"	320	1953120	16.4
	"3 years"	"3"	"2013"	"2013"	"Male"	"M"	431	2036418	21.2
"Total"	"3 years"	"3"	"2013"	"2013"			751	3989538	18.8
	"3 years"	"3"	"2014"	"2014"	"Female"	"F"	312	1956572	15.9
	"3 years"	"3"	"2014"	"2014"	"Male"	"M"	429	2048618	20.9
"Total"	"3 years"	"3"	"2014"	"2014"			741	4005190	18.5
	"3 years"	"3"	"2015"	"2015"	"Female"	"F"	316	1943417	16.3
	"3 years"	"3"	"2015"	"2015"	"Male"	"M"	462	2030644	22.8
"Total"	"3 years"	"3"	"2015"	"2015"			778	3974061	19.6
	"3 years"	"3"	"2016"	"2016"	"Female"	"F"	323	1947408	16.6
	"3 years"	"3"	"2016"	"2016"	"Male"	"M"	468	2034666	23.0
"Total"	"3 years"	"3"	"2016"	"2016"			791	3982074	19.9
	"3 years"	"3"	"2017"	"2017"	"Female"	"F"	312	1956281	15.9
	"3 years"	"3"	"2017"	"2017"	"Male"	"M"	461	2050474	22.5
"Total"	"3 years"	"3"	"2017"	"2017"			773	4006755	19.3
	"3 years"	"3"	"2018"	"2018"	"Female"	"F"	291	1972327	14.8
	"3 years"	"3"	"2018"	"2018"	"Male"	"M"	454	2064235	22.0
"Total"	"3 years"	"3"	"2018"	"2018"			745	4036562	18.5
	"3 years"	"3"	"2019"	"2019"	"Female"	"F"	320	1955655	16.4
	"3 years"	"3"	"2019"	"2019"	"Male"	"M"	390	2043010	19.1
"Total"	"3 years"	"3"	"2019"	"2019"			710	3998665	17.8
"Total"	"3 years"	"3"					17948	83261451	21.6
	"4 years"	"4"	"1999"	"1999"	"Female"	"F"	364	1926335	18.9
	"4 years"	"4"	"1999"	"1999"	"Male"	"M"	474	2020918	23.5
"Total"	"4 years"	"4"	"1999"	"1999"			838	3947253	21.2
	"4 years"	"4"	"2000"	"2000"	"Female"	"F"	354	1915665	18.5
	"4 years"	"4"	"2000"	"2000"	"Male"	"M"	430	2010658	21.4
"Total"	"4 years"	"4"	"2000"	"2000"			784	3926323	20.0
	"4 years"	"4"	"2001"	"2001"	"Female"	"F"	341	1871311	18.2
	"4 years"	"4"	"2001"	"2001"	"Male"	"M"	478	1956035	24.4
"Total"	"4 years"	"4"	"2001"	"2001"			819	3827346	21.4
	"4 years"	"4"	"2002"	"2002"	"Female"	"F"	319	1861887	17.1
	"4 years"	"4"	"2002"	"2002"	"Male"	"M"	460	1950720	23.6
"Total"	"4 years"	"4"	"2002"	"2002"			779	3812607	20.4
	"4 years"	"4"	"2003"	"2003"	"Female"	"F"	329	1864923	17.6
	"4 years"	"4"	"2003"	"2003"	"Male"	"M"	431	1951950	22.1
"Total"	"4 years"	"4"	"2003"	"2003"			760	3816873	19.9
	"4 years"	"4"	"2004"	"2004"	"Female"	"F"	322	1892670	17.0
	"4 years"	"4"	"2004"	"2004"	"Male"	"M"	416	1983939	21.0
"Total"	"4 years"	"4"	"2004"	"2004"			738	3876609	19.0
	"4 years"	"4"	"2005"	"2005"	"Female"	"F"	304	1971897	15.4
	"4 years"	"4"	"2005"	"2005"	"Male"	"M"	418	2058231	20.3
"Total"	"4 years"	"4"	"2005"	"2005"			722	4030128	17.9
	"4 years"	"4"	"2006"	"2006"	"Female"	"F"	313	1942684	16.1
	"4 years"	"4"	"2006"	"2006"	"Male"	"M"	395	2028196	19.5
"Total"	"4 years"	"4"	"2006"	"2006"			708	3970880	17.8
	"4 years"	"4"	"2007"	"2007"	"Female"	"F"	291	1953816	14.9
	"4 years"	"4"	"2007"	"2007"	"Male"	"M"	412	2044444	20.2
"Total"	"4 years"	"4"	"2007"	"2007"			703	3998260	17.6
	"4 years"	"4"	"2008"	"2008"	"Female"	"F"	305	1975431	15.4
	"4 years"	"4"	"2008"	"2008"	"Male"	"M"	393	2065739	19.0
"Total"	"4 years"	"4"	"2008"	"2008"			698	4041170	17.3
	"4 years"	"4"	"2009"	"2009"	"Female"	"F"	299	1970678	15.2
	"4 years"	"4"	"2009"	"2009"	"Male"	"M"	370	2062779	17.9
"Total"	"4 years"	"4"	"2009"	"2009"			669	4033457	16.6
	"4 years"	"4"	"2010"	"2010"	"Female"	"F"	268	1985620	13.5
	"4 years"	"4"	"2010"	"2010"	"Male"	"M"	366	2077550	17.6
"Total"	"4 years"	"4"	"2010"	"2010"			634	4063170	15.6
	"4 years"	"4"	"2011"	"2011"	"Female"	"F"	298	2015487	14.8
	"4 years"	"4"	"2011"	"2011"	"Male"	"M"	376	2106967	17.8
"Total"	"4 years"	"4"	"2011"	"2011"			674	4122454	16.3
	"4 years"	"4"	"2012"	"2012"	"Female"	"F"	278	2012570	13.8
	"4 years"	"4"	"2012"	"2012"	"Male"	"M"	414	2099777	19.7
"Total"	"4 years"	"4"	"2012"	"2012"			692	4112347	16.8
	"4 years"	"4"	"2013"	"2013"	"Female"	"F"	271	1954885	13.9
	"4 years"	"4"	"2013"	"2013"	"Male"	"M"	374	2036805	18.4
"Total"	"4 years"	"4"	"2013"	"2013"			645	3991690	16.2
	"4 years"	"4"	"2014"	"2014"	"Female"	"F"	258	1959950	13.2
	"4 years"	"4"	"2014"	"2014"	"Male"	"M"	384	2043498	18.8
"Total"	"4 years"	"4"	"2014"	"2014"			642	4003448	16.0
	"4 years"	"4"	"2015"	"2015"	"Female"	"F"	248	1964111	12.6
	"4 years"	"4"	"2015"	"2015"	"Male"	"M"	341	2055924	16.6
"Total"	"4 years"	"4"	"2015"	"2015"			589	4020035	14.7
	"4 years"	"4"	"2016"	"2016"	"Female"	"F"	298	1950127	15.3
	"4 years"	"4"	"2016"	"2016"	"Male"	"M"	342	2037529	16.8
"Total"	"4 years"	"4"	"2016"	"2016"			640	3987656	16.0
	"4 years"	"4"	"2017"	"2017"	"Female"	"F"	273	1953782	14.0
	"4 years"	"4"	"2017"	"2017"	"Male"	"M"	325	2042001	15.9
"Total"	"4 years"	"4"	"2017"	"2017"			598	3995783	15.0
	"4 years"	"4"	"2018"	"2018"	"Female"	"F"	244	1963164	12.4
	"4 years"	"4"	"2018"	"2018"	"Male"	"M"	346	2058004	16.8
"Total"	"4 years"	"4"	"2018"	"2018"			590	4021168	14.7
	"4 years"	"4"	"2019"	"2019"	"Female"	"F"	265	1976372	13.4
	"4 years"	"4"	"2019"	"2019"	"Male"	"M"	311	2066951	15.0
"Total"	"4 years"	"4"	"2019"	"2019"			576	4043323	14.2
"Total"	"4 years"	"4"					14498	83641980	17.3
	"5 years"	"5"	"1999"	"1999"	"Female"	"F"	317	1950892	16.2
	"5 years"	"5"	"1999"	"1999"	"Male"	"M"	446	2048870	21.8
"Total"	"5 years"	"5"	"1999"	"1999"			763	3999762	19.1
	"5 years"	"5"	"2000"	"2000"	"Female"	"F"	314	1934031	16.2
	"5 years"	"5"	"2000"	"2000"	"Male"	"M"	430	2031072	21.2
"Total"	"5 years"	"5"	"2000"	"2000"			744	3965103	18.8
	"5 years"	"5"	"2001"	"2001"	"Female"	"F"	287	1909212	15.0
	"5 years"	"5"	"2001"	"2001"	"Male"	"M"	383	2000821	19.1
"Total"	"5 years"	"5"	"2001"	"2001"			670	3910033	17.1
	"5 years"	"5"	"2002"	"2002"	"Female"	"F"	306	1876401	16.3
	"5 years"	"5"	"2002"	"2002"	"Male"	"M"	368	1960786	18.8
"Total"	"5 years"	"5"	"2002"	"2002"			674	3837187	17.6
	"5 years"	"5"	"2003"	"2003"	"Female"	"F"	270	1867683	14.5
	"5 years"	"5"	"2003"	"2003"	"Male"	"M"	379	1955885	19.4
"Total"	"5 years"	"5"	"2003"	"2003"			649	3823568	17.0
	"5 years"	"5"	"2004"	"2004"	"Female"	"F"	304	1871767	16.2
	"5 years"	"5"	"2004"	"2004"	"Male"	"M"	353	1957840	18.0
"Total"	"5 years"	"5"	"2004"	"2004"			657	3829607	17.2
	"5 years"	"5"	"2005"	"2005"	"Female"	"F"	260	1901483	13.7
	"5 years"	"5"	"2005"	"2005"	"Male"	"M"	336	1991645	16.9
"Total"	"5 years"	"5"	"2005"	"2005"			596	3893128	15.3
	"5 years"	"5"	"2006"	"2006"	"Female"	"F"	280	1982961	14.1
	"5 years"	"5"	"2006"	"2006"	"Male"	"M"	407	2067621	19.7
"Total"	"5 years"	"5"	"2006"	"2006"			687	4050582	17.0
	"5 years"	"5"	"2007"	"2007"	"Female"	"F"	250	1955007	12.8
	"5 years"	"5"	"2007"	"2007"	"Male"	"M"	345	2038482	16.9
"Total"	"5 years"	"5"	"2007"	"2007"			595	3993489	14.9
	"5 years"	"5"	"2008"	"2008"	"Female"	"F"	254	1968133	12.9
	"5 years"	"5"	"2008"	"2008"	"Male"	"M"	314	2056164	15.3
"Total"	"5 years"	"5"	"2008"	"2008"			568	4024297	14.1
	"5 years"	"5"	"2009"	"2009"	"Female"	"F"	268	1991556	13.5
	"5 years"	"5"	"2009"	"2009"	"Male"	"M"	318	2078709	15.3
"Total"	"5 years"	"5"	"2009"	"2009"			586	4070265	14.4
	"5 years"	"5"	"2010"	"2010"	"Female"	"F"	208	1984764	10.5
	"5 years"	"5"	"2010"	"2010"	"Male"	"M"	292	2072094	14.1
"Total"	"5 years"	"5"	"2010"	"2010"			500	4056858	12.3
