"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Florida"	"12"	"2018"	"2018"	3588	21299325	16.8	15.2
	"Florida"	"12"	"2019"	"2019"	3488	21477737	16.2	14.6
	"Florida"	"12"	"2020 "	"2020"	3149	21733312	14.5	13.2
	"Georgia"	"13"	"2010"	"2010"	1143	9687653	11.8	11.8
	"Georgia"	"13"	"2011"	"2011"	1164	9815210	11.9	11.8
	"Georgia"	"13"	"2012"	"2012"	1172	9919945	11.8	11.7
	"Georgia"	"13"	"2013"	"2013"	1229	9992167	12.3	12.1
	"Georgia"	"13"	"2014"	"2014"	1304	10097343	12.9	12.7
	"Georgia"	"13"	"2015"	"2015"	1325	10214860	13.0	12.7
	"Georgia"	"13"	"2016"	"2016"	1415	10310371	13.7	13.4
	"Georgia"	"13"	"2017"	"2017"	1453	10429379	13.9	13.6
	"Georgia"	"13"	"2018"	"2018"	1572	10519475	14.9	14.6
	"Georgia"	"13"	"2019"	"2019"	1588	10617423	15.0	14.7
	"Georgia"	"13"	"2020 "	"2020"	1499	10710017	14.0	13.8
	"Hawaii"	"15"	"2010"	"2010"	207	1360301	15.2	15.0
	"Hawaii"	"15"	"2011"	"2011"	183	1374810	13.3	12.9
	"Hawaii"	"15"	"2012"	"2012"	191	1392313	13.7	13.1
	"Hawaii"	"15"	"2013"	"2013"	171	1404054	12.2	11.8
	"Hawaii"	"15"	"2014"	"2014"	207	1419561	14.6	14.0
	"Hawaii"	"15"	"2015"	"2015"	201	1431603	14.0	13.5
	"Hawaii"	"15"	"2016"	"2016"	175	1428557	12.3	12.1
	"Hawaii"	"15"	"2017"	"2017"	229	1427538	16.0	15.3
	"Hawaii"	"15"	"2018"	"2018"	176	1420491	12.4	11.9
	"Hawaii"	"15"	"2019"	"2019"	224	1415872	15.8	15.5
	"Hawaii"	"15"	"2020 "	"2020"	185	1407006	13.1	12.9
	"Idaho"	"16"	"2010"	"2010"	291	1567582	18.6	18.9
	"Idaho"	"16"	"2011"	"2011"	281	1584985	17.7	18.2
	"Idaho"	"16"	"2012"	"2012"	299	1595728	18.7	19.1
	"Idaho"	"16"	"2013"	"2013"	308	1612136	19.1	19.2
	"Idaho"	"16"	"2014"	"2014"	320	1634464	19.6	20.0
	"Idaho"	"16"	"2015"	"2015"	359	1654930	21.7	22.1
	"Idaho"	"16"	"2016"	"2016"	351	1683140	20.9	21.4
	"Idaho"	"16"	"2017"	"2017"	393	1716943	22.9	23.2
	"Idaho"	"16"	"2018"	"2018"	419	1754208	23.9	24.0
	"Idaho"	"16"	"2019"	"2019"	365	1787065	20.4	20.4
	"Idaho"	"16"	"2020 "	"2020"	419	1826913	22.9	23.2
	"Illinois"	"17"	"2010"	"2010"	1190	12830632	9.3	9.0
	"Illinois"	"17"	"2011"	"2011"	1237	12869257	9.6	9.4
	"Illinois"	"17"	"2012"	"2012"	1306	12875255	10.1	9.9
	"Illinois"	"17"	"2013"	"2013"	1332	12882135	10.3	10.0
	"Illinois"	"17"	"2014"	"2014"	1413	12880580	11.0	10.6
	"Illinois"	"17"	"2015"	"2015"	1381	12859995	10.7	10.4
	"Illinois"	"17"	"2016"	"2016"	1432	12801539	11.2	10.9
	"Illinois"	"17"	"2017"	"2017"	1490	12802023	11.6	11.3
	"Illinois"	"17"	"2018"	"2018"	1498	12741080	11.8	11.4
	"Illinois"	"17"	"2019"	"2019"	1449	12671821	11.4	11.0
	"Illinois"	"17"	"2020 "	"2020"	1367	12587530	10.9	10.6
	"Indiana"	"18"	"2010"	"2010"	865	6483802	13.3	13.1
	"Indiana"	"18"	"2011"	"2011"	884	6516922	13.6	13.6
	"Indiana"	"18"	"2012"	"2012"	944	6537334	14.4	14.3
	"Indiana"	"18"	"2013"	"2013"	946	6570902	14.4	14.3
	"Indiana"	"18"	"2014"	"2014"	949	6596855	14.4	14.3
	"Indiana"	"18"	"2015"	"2015"	962	6619680	14.5	14.4
	"Indiana"	"18"	"2016"	"2016"	1036	6633053	15.6	15.4
	"Indiana"	"18"	"2017"	"2017"	1093	6666818	16.4	16.3
	"Indiana"	"18"	"2018"	"2018"	1080	6691878	16.1	16.0
	"Indiana"	"18"	"2019"	"2019"	974	6732219	14.5	14.2
	"Indiana"	"18"	"2020 "	"2020"	1027	6754953	15.2	15.1
	"Iowa"	"19"	"2010"	"2010"	373	3046355	12.2	12.1
	"Iowa"	"19"	"2011"	"2011"	424	3062309	13.8	14.0
	"Iowa"	"19"	"2012"	"2012"	386	3074186	12.6	12.8
	"Iowa"	"19"	"2013"	"2013"	450	3090416	14.6	14.5
	"Iowa"	"19"	"2014"	"2014"	408	3107126	13.1	12.9
	"Iowa"	"19"	"2015"	"2015"	434	3123899	13.9	13.9
	"Iowa"	"19"	"2016"	"2016"	453	3134693	14.5	14.6
	"Iowa"	"19"	"2017"	"2017"	480	3145711	15.3	15.1
	"Iowa"	"19"	"2018"	"2018"	490	3156145	15.5	15.5
	"Iowa"	"19"	"2019"	"2019"	530	3155070	16.8	16.8
	"Iowa"	"19"	"2020 "	"2020"	552	3163561	17.4	18.0
	"Kansas"	"20"	"2010"	"2010"	403	2853118	14.1	14.0
	"Kansas"	"20"	"2011"	"2011"	395	2871238	13.8	13.8
	"Kansas"	"20"	"2012"	"2012"	503	2885905	17.4	17.5
	"Kansas"	"20"	"2013"	"2013"	426	2893957	14.7	14.8
	"Kansas"	"20"	"2014"	"2014"	457	2904021	15.7	15.8
	"Kansas"	"20"	"2015"	"2015"	481	2911641	16.5	16.4
	"Kansas"	"20"	"2016"	"2016"	514	2907289	17.7	17.9
	"Kansas"	"20"	"2017"	"2017"	555	2913123	19.1	19.2
	"Kansas"	"20"	"2018"	"2018"	562	2911505	19.3	19.5
	"Kansas"	"20"	"2019"	"2019"	526	2913314	18.1	18.3
	"Kansas"	"20"	"2020 "	"2020"	532	2913805	18.3	18.4
	"Kentucky"	"21"	"2010"	"2010"	631	4339367	14.5	14.2
	"Kentucky"	"21"	"2011"	"2011"	677	4369356	15.5	15.2
	"Kentucky"	"21"	"2012"	"2012"	727	4380415	16.6	16.3
	"Kentucky"	"21"	"2013"	"2013"	704	4395295	16.0	15.6
	"Kentucky"	"21"	"2014"	"2014"	729	4413457	16.5	16.0
	"Kentucky"	"21"	"2015"	"2015"	777	4425092	17.6	17.1
	"Kentucky"	"21"	"2016"	"2016"	760	4436974	17.1	16.9
	"Kentucky"	"21"	"2017"	"2017"	774	4454189	17.4	17.0
	"Kentucky"	"21"	"2018"	"2018"	801	4468402	17.9	17.5
	"Kentucky"	"21"	"2019"	"2019"	757	4467673	16.9	16.5
	"Kentucky"	"21"	"2020 "	"2020"	801	4477251	17.9	17.7
	"Louisiana"	"22"	"2010"	"2010"	561	4533372	12.4	12.4
	"Louisiana"	"22"	"2011"	"2011"	580	4574836	12.7	12.7
	"Louisiana"	"22"	"2012"	"2012"	575	4601893	12.5	12.6
	"Louisiana"	"22"	"2013"	"2013"	589	4625470	12.7	12.5
	"Louisiana"	"22"	"2014"	"2014"	682	4649676	14.7	14.4
	"Louisiana"	"22"	"2015"	"2015"	733	4670724	15.7	15.4
	"Louisiana"	"22"	"2016"	"2016"	688	4681666	14.7	14.4
	"Louisiana"	"22"	"2017"	"2017"	727	4684333	15.5	15.4
	"Louisiana"	"22"	"2018"	"2018"	727	4659978	15.6	15.3
	"Louisiana"	"22"	"2019"	"2019"	713	4648794	15.3	15.2
	"Louisiana"	"22"	"2020 "	"2020"	646	4645318	13.9	13.8
	"Maine"	"23"	"2010"	"2010"	186	1328361	14.0	13.2
	"Maine"	"23"	"2011"	"2011"	235	1328188	17.7	16.6
	"Maine"	"23"	"2012"	"2012"	210	1329192	15.8	14.6
	"Maine"	"23"	"2013"	"2013"	245	1328302	18.4	17.4
	"Maine"	"23"	"2014"	"2014"	220	1330089	16.5	15.7
	"Maine"	"23"	"2015"	"2015"	236	1329328	17.8	16.1
	"Maine"	"23"	"2016"	"2016"	228	1331479	17.1	16.0
	"Maine"	"23"	"2017"	"2017"	274	1335907	20.5	18.9
	"Maine"	"23"	"2018"	"2018"	270	1338404	20.2	18.5
	"Maine"	"23"	"2019"	"2019"	276	1344212	20.5	19.4
	"Maine"	"23"	"2020 "	"2020"	234	1350141	17.3	16.4
	"Maryland"	"24"	"2010"	"2010"	510	5773552	8.8	8.5
	"Maryland"	"24"	"2011"	"2011"	569	5828289	9.8	9.4
	"Maryland"	"24"	"2012"	"2012"	598	5884563	10.2	9.7
	"Maryland"	"24"	"2013"	"2013"	583	5928814	9.8	9.4
	"Maryland"	"24"	"2014"	"2014"	621	5976407	10.4	10.0
	"Maryland"	"24"	"2015"	"2015"	563	6006401	9.4	9.0
	"Maryland"	"24"	"2016"	"2016"	594	6016447	9.9	9.5
	"Maryland"	"24"	"2017"	"2017"	640	6052177	10.6	10.0
	"Maryland"	"24"	"2018"	"2018"	659	6042718	10.9	10.4
	"Maryland"	"24"	"2019"	"2019"	666	6045680	11.0	10.4
	"Maryland"	"24"	"2020 "	"2020"	593	6055802	9.8	9.3
	"Massachusetts"	"25"	"2010"	"2010"	601	6547629	9.2	8.8
	"Massachusetts"	"25"	"2011"	"2011"	588	6587536	8.9	8.4
	"Massachusetts"	"25"	"2012"	"2012"	609	6646144	9.2	8.7
	"Massachusetts"	"25"	"2013"	"2013"	575	6692824	8.6	8.2
	"Massachusetts"	"25"	"2014"	"2014"	599	6745408	8.9	8.3
	"Massachusetts"	"25"	"2015"	"2015"	648	6794422	9.5	9.0
	"Massachusetts"	"25"	"2016"	"2016"	637	6811779	9.4	8.9
	"Massachusetts"	"25"	"2017"	"2017"	683	6859819	10.0	9.5
	"Massachusetts"	"25"	"2018"	"2018"	743	6902149	10.8	10.0
	"Massachusetts"	"25"	"2019"	"2019"	648	6892503	9.4	8.7
	"Massachusetts"	"25"	"2020 "	"2020"	629	6893574	9.1	8.5
	"Michigan"	"26"	"2010"	"2010"	1274	9883640	12.9	12.6
	"Michigan"	"26"	"2011"	"2011"	1228	9876187	12.4	12.3
	"Michigan"	"26"	"2012"	"2012"	1274	9883360	12.9	12.6
	"Michigan"	"26"	"2013"	"2013"	1304	9895622	13.2	13.0
	"Michigan"	"26"	"2014"	"2014"	1360	9909877	13.7	13.3
	"Michigan"	"26"	"2015"	"2015"	1426	9922576	14.4	14.0
	"Michigan"	"26"	"2016"	"2016"	1375	9928300	13.8	13.4
	"Michigan"	"26"	"2017"	"2017"	1462	9962311	14.7	14.2
	"Michigan"	"26"	"2018"	"2018"	1553	9995915	15.5	15.1
	"Michigan"	"26"	"2019"	"2019"	1477	9986857	14.8	14.3
	"Michigan"	"26"	"2020 "	"2020"	1451	9966555	14.6	14.1
	"Minnesota"	"27"	"2010"	"2010"	610	5303925	11.5	11.3
	"Minnesota"	"27"	"2011"	"2011"	687	5344861	12.9	12.5
	"Minnesota"	"27"	"2012"	"2012"	659	5379139	12.3	12.1
	"Minnesota"	"27"	"2013"	"2013"	681	5420380	12.6	12.2
	"Minnesota"	"27"	"2014"	"2014"	690	5457173	12.6	12.3
	"Minnesota"	"27"	"2015"	"2015"	735	5489594	13.4	13.3
	"Minnesota"	"27"	"2016"	"2016"	752	5519952	13.6	13.3
	"Minnesota"	"27"	"2017"	"2017"	785	5576606	14.1	13.9
	"Minnesota"	"27"	"2018"	"2018"	742	5611179	13.2	13.2
	"Minnesota"	"27"	"2019"	"2019"	833	5639632	14.8	14.4
	"Minnesota"	"27"	"2020 "	"2020"	763	5657342	13.5	13.2
	"Mississippi"	"28"	"2010"	"2010"	390	2967297	13.1	13.1
	"Mississippi"	"28"	"2011"	"2011"	391	2978512	13.1	13.1
	"Mississippi"	"28"	"2012"	"2012"	414	2984926	13.9	14.2
	"Mississippi"	"28"	"2013"	"2013"	391	2991207	13.1	13.1
	"Mississippi"	"28"	"2014"	"2014"	384	2994079	12.8	12.6
	"Mississippi"	"28"	"2015"	"2015"	435	2992333	14.5	14.2
	"Mississippi"	"28"	"2016"	"2016"	384	2988726	12.8	12.7
	"Mississippi"	"28"	"2017"	"2017"	446	2984100	14.9	15.1
	"Mississippi"	"28"	"2018"	"2018"	423	2986530	14.2	13.8
	"Mississippi"	"28"	"2019"	"2019"	439	2976149	14.8	14.5
	"Mississippi"	"28"	"2020 "	"2020"	411	2966786	13.9	14.0
	"Missouri"	"29"	"2010"	"2010"	863	5988927	14.4	14.2
	"Missouri"	"29"	"2011"	"2011"	935	6010688	15.6	15.3
	"Missouri"	"29"	"2012"	"2012"	920	6021988	15.3	15.0
	"Missouri"	"29"	"2013"	"2013"	967	6044171	16.0	15.8
	"Missouri"	"29"	"2014"	"2014"	1024	6063589	16.9	16.4
	"Missouri"	"29"	"2015"	"2015"	1061	6083672	17.4	17.2
	"Missouri"	"29"	"2016"	"2016"	1137	6093000	18.7	18.4
	"Missouri"	"29"	"2017"	"2017"	1158	6113532	18.9	18.6
	"Missouri"	"29"	"2018"	"2018"	1237	6126452	20.2	19.6
	"Missouri"	"29"	"2019"	"2019"	1142	6137428	18.6	18.2
	"Missouri"	"29"	"2020 "	"2020"	1129	6151548	18.4	18.3
	"Montana"	"30"	"2010"	"2010"	230	989415	23.2	22.1
	"Montana"	"30"	"2011"	"2011"	233	998199	23.3	22.6
	"Montana"	"30"	"2012"	"2012"	233	1005141	23.2	22.6
	"Montana"	"30"	"2013"	"2013"	243	1015165	23.9	23.7
	"Montana"	"30"	"2014"	"2014"	251	1023579	24.5	23.9
	"Montana"	"30"	"2015"	"2015"	273	1032949	26.4	25.4
	"Montana"	"30"	"2016"	"2016"	268	1042520	25.7	26.0
	"Montana"	"30"	"2017"	"2017"	311	1050493	29.6	28.9
	"Montana"	"30"	"2018"	"2018"	265	1062305	24.9	24.9
	"Montana"	"30"	"2019"	"2019"	291	1068778	27.2	26.3
	"Montana"	"30"	"2020 "	"2020"	300	1080577	27.8	26.1
	"Nebraska"	"31"	"2010"	"2010"	193	1826341	10.6	10.4
	"Nebraska"	"31"	"2011"	"2011"	195	1842641	10.6	10.6
	"Nebraska"	"31"	"2012"	"2012"	233	1855525	12.6	12.6
	"Nebraska"	"31"	"2013"	"2013"	221	1868516	11.8	11.7
	"Nebraska"	"31"	"2014"	"2014"	252	1881503	13.4	13.5
	"Nebraska"	"31"	"2015"	"2015"	224	1896190	11.8	11.8
	"Nebraska"	"31"	"2016"	"2016"	246	1907116	12.9	13.1
	"Nebraska"	"31"	"2017"	"2017"	275	1920076	14.3	14.7
	"Nebraska"	"31"	"2018"	"2018"	271	1929268	14.0	13.4
	"Nebraska"	"31"	"2019"	"2019"	309	1934408	16.0	16.1
	"Nebraska"	"31"	"2020 "	"2020"	283	1937552	14.6	14.9
	"Nevada"	"32"	"2010"	"2010"	550	2700551	20.4	19.9
	"Nevada"	"32"	"2011"	"2011"	519	2723322	19.1	18.5
	"Nevada"	"32"	"2012"	"2012"	525	2758931	19.0	18.3
	"Nevada"	"32"	"2013"	"2013"	542	2790136	19.4	18.6
	"Nevada"	"32"	"2014"	"2014"	574	2839099	20.2	19.6
	"Nevada"	"32"	"2015"	"2015"	561	2890845	19.4	18.5
	"Nevada"	"32"	"2016"	"2016"	650	2940058	22.1	21.4
	"Nevada"	"32"	"2017"	"2017"	632	2998039	21.1	20.4
	"Nevada"	"32"	"2018"	"2018"	659	3034392	21.7	20.9
	"Nevada"	"32"	"2019"	"2019"	645	3080156	20.9	19.9
	"Nevada"	"32"	"2020 "	"2020"	608	3138259	19.4	18.4
	"New Hampshire"	"33"	"2010"	"2010"	197	1316470	15.0	14.2
	"New Hampshire"	"33"	"2011"	"2011"	199	1318194	15.1	13.9
	"New Hampshire"	"33"	"2012"	"2012"	202	1320718	15.3	14.1
	"New Hampshire"	"33"	"2013"	"2013"	185	1323459	14.0	12.8
	"New Hampshire"	"33"	"2014"	"2014"	247	1326813	18.6	17.8
	"New Hampshire"	"33"	"2015"	"2015"	228	1330608	17.1	16.5
	"New Hampshire"	"33"	"2016"	"2016"	245	1334795	18.4	17.3
	"New Hampshire"	"33"	"2017"	"2017"	267	1342795	19.9	19.1
	"New Hampshire"	"33"	"2018"	"2018"	279	1356458	20.6	19.4
	"New Hampshire"	"33"	"2019"	"2019"	255	1359711	18.8	17.5
	"New Hampshire"	"33"	"2020 "	"2020"	235	1366275	17.2	16.4
	"New Jersey"	"34"	"2010"	"2010"	724	8791894	8.2	7.8
	"New Jersey"	"34"	"2011"	"2011"	695	8821155	7.9	7.6
	"New Jersey"	"34"	"2012"	"2012"	689	8864590	7.8	7.5
	"New Jersey"	"34"	"2013"	"2013"	760	8899339	8.5	8.1
	"New Jersey"	"34"	"2014"	"2014"	796	8938175	8.9	8.5
	"New Jersey"	"34"	"2015"	"2015"	794	8958013	8.9	8.4
	"New Jersey"	"34"	"2016"	"2016"	692	8944469	7.7	7.2
	"New Jersey"	"34"	"2017"	"2017"	799	9005644	8.9	8.4
	"New Jersey"	"34"	"2018"	"2018"	783	8908520	8.8	8.3
	"New Jersey"	"34"	"2019"	"2019"	765	8882190	8.6	8.1
	"New Jersey"	"34"	"2020 "	"2020"	681	8882371	7.7	7.1
	"New Mexico"	"35"	"2010"	"2010"	416	2059179	20.2	20.3
	"New Mexico"	"35"	"2011"	"2011"	423	2082224	20.3	20.5
	"New Mexico"	"35"	"2012"	"2012"	447	2085538	21.4	21.6
	"New Mexico"	"35"	"2013"	"2013"	433	2085287	20.8	20.4
	"New Mexico"	"35"	"2014"	"2014"	451	2085572	21.6	21.1
	"New Mexico"	"35"	"2015"	"2015"	506	2085109	24.3	24.0
	"New Mexico"	"35"	"2016"	"2016"	472	2081015	22.7	22.5
	"New Mexico"	"35"	"2017"	"2017"	493	2088070	23.6	23.4
	"New Mexico"	"35"	"2018"	"2018"	543	2095428	25.9	25.3
	"New Mexico"	"35"	"2019"	"2019"	517	2096829	24.7	24.2
	"New Mexico"	"35"	"2020 "	"2020"	519	2106319	24.6	24.4
	"New York"	"36"	"2010"	"2010"	1572	19378102	8.1	7.8
	"New York"	"36"	"2011"	"2011"	1686	19465197	8.7	8.3
	"New York"	"36"	"2012"	"2012"	1731	19570261	8.8	8.4
	"New York"	"36"	"2013"	"2013"	1706	19651127	8.7	8.2
	"New York"	"36"	"2014"	"2014"	1721	19746227	8.7	8.2
	"New York"	"36"	"2015"	"2015"	1669	19795791	8.4	8.0
	"New York"	"36"	"2016"	"2016"	1700	19745289	8.6	8.2
	"New York"	"36"	"2017"	"2017"	1720	19849399	8.7	8.2
	"New York"	"36"	"2018"	"2018"	1743	19542209	8.9	8.4
	"New York"	"36"	"2019"	"2019"	1721	19453561	8.8	8.4
	"New York"	"36"	"2020 "	"2020"	1665	19336776	8.6	8.1
	"North Carolina"	"37"	"2010"	"2010"	1180	9535483	12.4	12.1
	"North Carolina"	"37"	"2011"	"2011"	1215	9656401	12.6	12.3
	"North Carolina"	"37"	"2012"	"2012"	1290	9752073	13.2	12.8
	"North Carolina"	"37"	"2013"	"2013"	1290	9848060	13.1	12.6
	"North Carolina"	"37"	"2014"	"2014"	1363	9943964	13.7	13.1
	"North Carolina"	"37"	"2015"	"2015"	1413	10042802	14.1	13.5
	"North Carolina"	"37"	"2016"	"2016"	1382	10146788	13.6	13.1
	"North Carolina"	"37"	"2017"	"2017"	1527	10273419	14.9	14.4
	"North Carolina"	"37"	"2018"	"2018"	1505	10383620	14.5	13.8
	"North Carolina"	"37"	"2019"	"2019"	1368	10488084	13.0	12.6
	"North Carolina"	"37"	"2020 "	"2020"	1447	10600823	13.6	13.3
	"North Dakota"	"38"	"2010"	"2010"	106	672591	15.8	15.6
	"North Dakota"	"38"	"2011"	"2011"	106	683932	15.5	14.9
	"North Dakota"	"38"	"2012"	"2012"	105	699628	15.0	15.2
	"North Dakota"	"38"	"2013"	"2013"	128	723393	17.7	17.3
	"North Dakota"	"38"	"2014"	"2014"	137	739482	18.5	17.8
	"North Dakota"	"38"	"2015"	"2015"	125	756927	16.5	17.6
