"Notes"	"State"	"State Code"	"Race"	"Race Code"	"Year"	"Year Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Alabama"	"01"	"White"	"2106-3"	"2000"	"2000"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	89	3218218	2.8	2.8
	"Alabama"	"01"	"White"	"2106-3"	"2000"	"2000"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	10	3218218	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2000"	"2000"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	29	3218218	0.9	0.9
	"Alabama"	"01"	"White"	"2106-3"	"2000"	"2000"	"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent"	"Y14"	19	3218218	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2001"	"2001"	"Mental and behavioural disorders due to use of alcohol, harmful use"	"F10.1"	18	3225628	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2001"	"2001"	"Mental and behavioural disorders due to use of alcohol, dependence syndrome"	"F10.2"	11	3225628	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2001"	"2001"	"Alcoholic hepatitis"	"K70.1"	13	3225628	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2001"	"2001"	"Alcoholic cirrhosis of liver"	"K70.3"	57	3225628	1.8	1.6
	"Alabama"	"01"	"White"	"2106-3"	"2001"	"2001"	"Alcoholic hepatic failure"	"K70.4"	13	3225628	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2001"	"2001"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	24	3225628	0.7	0.8
	"Alabama"	"01"	"White"	"2106-3"	"2001"	"2001"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	108	3225628	3.3	3.3
	"Alabama"	"01"	"White"	"2106-3"	"2001"	"2001"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	25	3225628	0.8	0.8
	"Alabama"	"01"	"White"	"2106-3"	"2001"	"2001"	"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent"	"Y14"	10	3225628	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2002"	"2002"	"Mental and behavioural disorders due to use of alcohol, harmful use"	"F10.1"	14	3229712	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2002"	"2002"	"Mental and behavioural disorders due to use of alcohol, dependence syndrome"	"F10.2"	16	3229712	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2002"	"2002"	"Alcoholic cirrhosis of liver"	"K70.3"	59	3229712	1.8	1.6
	"Alabama"	"01"	"White"	"2106-3"	"2002"	"2002"	"Alcoholic hepatic failure"	"K70.4"	16	3229712	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2002"	"2002"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	40	3229712	1.2	1.3
	"Alabama"	"01"	"White"	"2106-3"	"2002"	"2002"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	103	3229712	3.2	3.2
	"Alabama"	"01"	"White"	"2106-3"	"2002"	"2002"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	21	3229712	0.7	0.7
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Mental and behavioural disorders due to use of alcohol, harmful use"	"F10.1"	21	3241836	0.6	0.5
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Mental and behavioural disorders due to use of alcohol, dependence syndrome"	"F10.2"	28	3241836	0.9	0.8
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use"	"F19.1"	16	3241836	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Alcoholic hepatitis"	"K70.1"	14	3241836	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Alcoholic cirrhosis of liver"	"K70.3"	63	3241836	1.9	1.7
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Alcoholic hepatic failure"	"K70.4"	13	3241836	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	24	3241836	0.7	0.7
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	100	3241836	3.1	3.1
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	15	3241836	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent"	"Y14"	13	3241836	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2004"	"2004"	"Mental and behavioural disorders due to use of alcohol, harmful use"	"F10.1"	14	3255811	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2004"	"2004"	"Mental and behavioural disorders due to use of alcohol, dependence syndrome"	"F10.2"	25	3255811	0.8	0.6
	"Alabama"	"01"	"White"	"2106-3"	"2004"	"2004"	"Alcoholic hepatitis"	"K70.1"	15	3255811	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2004"	"2004"	"Alcoholic cirrhosis of liver"	"K70.3"	67	3255811	2.1	1.8
	"Alabama"	"01"	"White"	"2106-3"	"2004"	"2004"	"Alcoholic hepatic failure"	"K70.4"	12	3255811	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2004"	"2004"	"Alcoholic liver disease, unspecified"	"K70.9"	13	3255811	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2004"	"2004"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	10	3255811	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2004"	"2004"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	30	3255811	0.9	1.0
	"Alabama"	"01"	"White"	"2106-3"	"2004"	"2004"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	154	3255811	4.7	4.8
	"Alabama"	"01"	"White"	"2106-3"	"2004"	"2004"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	33	3255811	1.0	1.0
	"Alabama"	"01"	"White"	"2106-3"	"2004"	"2004"	"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent"	"Y14"	14	3255811	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2005"	"2005"	"Mental and behavioural disorders due to use of alcohol, harmful use"	"F10.1"	18	3279048	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2005"	"2005"	"Mental and behavioural disorders due to use of alcohol, dependence syndrome"	"F10.2"	27	3279048	0.8	0.7
	"Alabama"	"01"	"White"	"2106-3"	"2005"	"2005"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use"	"F19.1"	14	3279048	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2005"	"2005"	"Alcoholic hepatitis"	"K70.1"	12	3279048	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2005"	"2005"	"Alcoholic cirrhosis of liver"	"K70.3"	68	3279048	2.1	1.8
	"Alabama"	"01"	"White"	"2106-3"	"2005"	"2005"	"Alcoholic hepatic failure"	"K70.4"	13	3279048	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2005"	"2005"	"Alcoholic liver disease, unspecified"	"K70.9"	10	3279048	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2005"	"2005"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	31	3279048	0.9	1.0
	"Alabama"	"01"	"White"	"2106-3"	"2005"	"2005"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	153	3279048	4.7	4.8
	"Alabama"	"01"	"White"	"2106-3"	"2005"	"2005"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	17	3279048	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2005"	"2005"	"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent"	"Y12"	10	3279048	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2005"	"2005"	"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent"	"Y14"	25	3279048	0.8	0.8
	"Alabama"	"01"	"White"	"2106-3"	"2006"	"2006"	"Mental and behavioural disorders due to use of alcohol, harmful use"	"F10.1"	23	3314160	0.7	0.6
	"Alabama"	"01"	"White"	"2106-3"	"2006"	"2006"	"Mental and behavioural disorders due to use of alcohol, dependence syndrome"	"F10.2"	28	3314160	0.8	0.7
	"Alabama"	"01"	"White"	"2106-3"	"2006"	"2006"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use"	"F19.1"	20	3314160	0.6	0.6
	"Alabama"	"01"	"White"	"2106-3"	"2006"	"2006"	"Alcoholic cirrhosis of liver"	"K70.3"	78	3314160	2.4	2.0
	"Alabama"	"01"	"White"	"2106-3"	"2006"	"2006"	"Alcoholic hepatic failure"	"K70.4"	18	3314160	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2006"	"2006"	"Alcoholic liver disease, unspecified"	"K70.9"	16	3314160	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2006"	"2006"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	64	3314160	1.9	2.0
	"Alabama"	"01"	"White"	"2106-3"	"2006"	"2006"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	207	3314160	6.2	6.4
	"Alabama"	"01"	"White"	"2106-3"	"2006"	"2006"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	30	3314160	0.9	0.9
	"Alabama"	"01"	"White"	"2106-3"	"2006"	"2006"	"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent"	"Y14"	32	3314160	1.0	1.0
	"Alabama"	"01"	"White"	"2106-3"	"2007"	"2007"	"Mental and behavioural disorders due to use of alcohol, harmful use"	"F10.1"	15	3340633	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2007"	"2007"	"Mental and behavioural disorders due to use of alcohol, dependence syndrome"	"F10.2"	30	3340633	0.9	0.8
	"Alabama"	"01"	"White"	"2106-3"	"2007"	"2007"	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	10	3340633	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2007"	"2007"	"Alcoholic hepatitis"	"K70.1"	16	3340633	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2007"	"2007"	"Alcoholic cirrhosis of liver"	"K70.3"	74	3340633	2.2	1.9
	"Alabama"	"01"	"White"	"2106-3"	"2007"	"2007"	"Alcoholic hepatic failure"	"K70.4"	15	3340633	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2007"	"2007"	"Alcoholic liver disease, unspecified"	"K70.9"	14	3340633	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2007"	"2007"	"Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics"	"X40"	12	3340633	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2007"	"2007"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	11	3340633	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2007"	"2007"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	96	3340633	2.9	3.0
	"Alabama"	"01"	"White"	"2106-3"	"2007"	"2007"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	257	3340633	7.7	7.9
	"Alabama"	"01"	"White"	"2106-3"	"2007"	"2007"	"Accidental poisoning by and exposure to alcohol"	"X45"	12	3340633	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2007"	"2007"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	35	3340633	1.0	1.0
	"Alabama"	"01"	"White"	"2106-3"	"2007"	"2007"	"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent"	"Y14"	28	3340633	0.8	0.9
	"Alabama"	"01"	"White"	"2106-3"	"2008"	"2008"	"Mental and behavioural disorders due to use of alcohol, harmful use"	"F10.1"	15	3366536	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2008"	"2008"	"Mental and behavioural disorders due to use of alcohol, dependence syndrome"	"F10.2"	30	3366536	0.9	0.8
	"Alabama"	"01"	"White"	"2106-3"	"2008"	"2008"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use"	"F19.1"	10	3366536	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2008"	"2008"	"Alcoholic cirrhosis of liver"	"K70.3"	79	3366536	2.3	2.0
	"Alabama"	"01"	"White"	"2106-3"	"2008"	"2008"	"Alcoholic liver disease, unspecified"	"K70.9"	11	3366536	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2008"	"2008"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	15	3366536	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2008"	"2008"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	107	3366536	3.2	3.4
	"Alabama"	"01"	"White"	"2106-3"	"2008"	"2008"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	322	3366536	9.6	9.6
	"Alabama"	"01"	"White"	"2106-3"	"2008"	"2008"	"Accidental poisoning by and exposure to alcohol"	"X45"	16	3366536	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2008"	"2008"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	35	3366536	1.0	1.0
	"Alabama"	"01"	"White"	"2106-3"	"2008"	"2008"	"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent"	"Y12"	16	3366536	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2008"	"2008"	"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent"	"Y14"	52	3366536	1.5	1.5
	"Alabama"	"01"	"White"	"2106-3"	"2009"	"2009"	"Mental and behavioural disorders due to use of alcohol, harmful use"	"F10.1"	16	3389202	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2009"	"2009"	"Mental and behavioural disorders due to use of alcohol, dependence syndrome"	"F10.2"	20	3389202	0.6	0.5
	"Alabama"	"01"	"White"	"2106-3"	"2009"	"2009"	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	10	3389202	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2009"	"2009"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use"	"F19.1"	15	3389202	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2009"	"2009"	"Alcoholic hepatitis"	"K70.1"	11	3389202	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2009"	"2009"	"Alcoholic cirrhosis of liver"	"K70.3"	82	3389202	2.4	2.0
	"Alabama"	"01"	"White"	"2106-3"	"2009"	"2009"	"Alcoholic hepatic failure"	"K70.4"	11	3389202	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2009"	"2009"	"Alcoholic liver disease, unspecified"	"K70.9"	12	3389202	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2009"	"2009"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	10	3389202	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2009"	"2009"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	124	3389202	3.7	3.9
	"Alabama"	"01"	"White"	"2106-3"	"2009"	"2009"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	357	3389202	10.5	10.9
	"Alabama"	"01"	"White"	"2106-3"	"2009"	"2009"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	39	3389202	1.2	1.1
	"Alabama"	"01"	"White"	"2106-3"	"2009"	"2009"	"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent"	"Y14"	24	3389202	0.7	0.7
	"Alabama"	"01"	"White"	"2106-3"	"2010"	"2010"	"Mental and behavioural disorders due to use of alcohol, harmful use"	"F10.1"	20	3399975	0.6	0.5
	"Alabama"	"01"	"White"	"2106-3"	"2010"	"2010"	"Mental and behavioural disorders due to use of alcohol, dependence syndrome"	"F10.2"	27	3399975	0.8	0.7
	"Alabama"	"01"	"White"	"2106-3"	"2010"	"2010"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use"	"F19.1"	12	3399975	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2010"	"2010"	"Alcoholic hepatitis"	"K70.1"	10	3399975	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2010"	"2010"	"Alcoholic cirrhosis of liver"	"K70.3"	91	3399975	2.7	2.2
	"Alabama"	"01"	"White"	"2106-3"	"2010"	"2010"	"Alcoholic hepatic failure"	"K70.4"	19	3399975	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2010"	"2010"	"Alcoholic liver disease, unspecified"	"K70.9"	13	3399975	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2010"	"2010"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	10	3399975	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2010"	"2010"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	97	3399975	2.9	3.0
	"Alabama"	"01"	"White"	"2106-3"	"2010"	"2010"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	318	3399975	9.4	9.8
	"Alabama"	"01"	"White"	"2106-3"	"2010"	"2010"	"Accidental poisoning by and exposure to alcohol"	"X45"	15	3399975	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2010"	"2010"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	44	3399975	1.3	1.3
	"Alabama"	"01"	"White"	"2106-3"	"2010"	"2010"	"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent"	"Y14"	19	3399975	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2011"	"2011"	"Mental and behavioural disorders due to use of alcohol, harmful use"	"F10.1"	23	3406474	0.7	0.6
	"Alabama"	"01"	"White"	"2106-3"	"2011"	"2011"	"Mental and behavioural disorders due to use of alcohol, dependence syndrome"	"F10.2"	25	3406474	0.7	0.6
	"Alabama"	"01"	"White"	"2106-3"	"2011"	"2011"	"Alcoholic hepatitis"	"K70.1"	12	3406474	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2011"	"2011"	"Alcoholic cirrhosis of liver"	"K70.3"	62	3406474	1.8	1.5
	"Alabama"	"01"	"White"	"2106-3"	"2011"	"2011"	"Alcoholic hepatic failure"	"K70.4"	18	3406474	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2011"	"2011"	"Alcoholic liver disease, unspecified"	"K70.9"	22	3406474	0.6	0.5
	"Alabama"	"01"	"White"	"2106-3"	"2011"	"2011"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	102	3406474	3.0	3.1
	"Alabama"	"01"	"White"	"2106-3"	"2011"	"2011"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	341	3406474	10.0	10.4
	"Alabama"	"01"	"White"	"2106-3"	"2011"	"2011"	"Accidental poisoning by and exposure to alcohol"	"X45"	21	3406474	0.6	0.6
	"Alabama"	"01"	"White"	"2106-3"	"2011"	"2011"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	27	3406474	0.8	0.8
	"Alabama"	"01"	"White"	"2106-3"	"2011"	"2011"	"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent"	"Y14"	22	3406474	0.6	0.7
	"Alabama"	"01"	"White"	"2106-3"	"2012"	"2012"	"Mental and behavioural disorders due to use of alcohol, harmful use"	"F10.1"	21	3413571	0.6	0.5
	"Alabama"	"01"	"White"	"2106-3"	"2012"	"2012"	"Mental and behavioural disorders due to use of alcohol, dependence syndrome"	"F10.2"	28	3413571	0.8	0.7
	"Alabama"	"01"	"White"	"2106-3"	"2012"	"2012"	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	18	3413571	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2012"	"2012"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use"	"F19.1"	16	3413571	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2012"	"2012"	"Alcoholic hepatitis"	"K70.1"	11	3413571	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2012"	"2012"	"Alcoholic cirrhosis of liver"	"K70.3"	101	3413571	3.0	2.5
	"Alabama"	"01"	"White"	"2106-3"	"2012"	"2012"	"Alcoholic hepatic failure"	"K70.4"	11	3413571	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2012"	"2012"	"Alcoholic liver disease, unspecified"	"K70.9"	18	3413571	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2012"	"2012"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	16	3413571	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2012"	"2012"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	98	3413571	2.9	3.1
	"Alabama"	"01"	"White"	"2106-3"	"2012"	"2012"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	328	3413571	9.6	10.0
	"Alabama"	"01"	"White"	"2106-3"	"2012"	"2012"	"Accidental poisoning by and exposure to alcohol"	"X45"	13	3413571	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2012"	"2012"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	42	3413571	1.2	1.1
	"Alabama"	"01"	"White"	"2106-3"	"2012"	"2012"	"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent"	"Y14"	18	3413571	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2013"	"2013"	"Mental and behavioural disorders due to use of alcohol, harmful use"	"F10.1"	26	3417357	0.8	0.6
	"Alabama"	"01"	"White"	"2106-3"	"2013"	"2013"	"Mental and behavioural disorders due to use of alcohol, dependence syndrome"	"F10.2"	24	3417357	0.7	0.6
	"Alabama"	"01"	"White"	"2106-3"	"2013"	"2013"	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	15	3417357	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2013"	"2013"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use"	"F19.1"	13	3417357	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2013"	"2013"	"Alcoholic hepatitis"	"K70.1"	13	3417357	Unreliable	Unreliable
